,drugname_brand,drugname_generic,anatomical,therapeutic,pharmacologic,chemical,substance,name
1086,PROCTOCORT,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,CORTICOSTEROIDS ACTING LOCALLY,HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1087,PROCTOCORT,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,CORTICOSTEROIDS ACTING LOCALLY,HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1088,PROCTOCORT,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,CORTICOSTEROIDS ACTING LOCALLY,HYDROCORTISONE,HYDROCORTISONE CAPROATE
1089,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE
1090,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE ACETATE
1091,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1092,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1093,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1094,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1095,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1096,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1097,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE VALERATE
1098,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1099,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1100,PROCTOCORT,HYDROCORTISONE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE CAPROATE
1101,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE
1102,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE ACETATE
1103,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1104,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1105,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1106,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1107,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1108,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1109,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE VALERATE
1110,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1111,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1112,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","CORTICOSTEROIDS, WEAK (GROUP I)",HYDROCORTISONE,HYDROCORTISONE CAPROATE
1113,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE
1114,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE ACETATE
1115,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1116,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1117,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1118,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1119,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1120,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1121,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE VALERATE
1122,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1123,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1124,PROCTOCORT,HYDROCORTISONE,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS",HYDROCORTISONE,HYDROCORTISONE CAPROATE
1125,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE
1126,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE ACETATE
1127,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1128,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1129,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1130,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1131,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1132,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1133,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE VALERATE
1134,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1135,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1136,PROCTOCORT,HYDROCORTISONE,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GLUCOCORTICOIDS,HYDROCORTISONE,HYDROCORTISONE CAPROATE
1137,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE
1138,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE ACETATE
1139,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1140,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1141,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1142,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1143,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1144,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1145,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE VALERATE
1146,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1147,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1148,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"CORTICOSTEROIDS, PLAIN",HYDROCORTISONE,HYDROCORTISONE CAPROATE
1149,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE
1150,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE ACETATE
1151,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1152,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1153,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1154,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1155,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1156,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1157,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE VALERATE
1158,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1159,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1160,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,CORTICOSTEROIDS/ANTIINFECTIVES/MYDRIATICS IN COMBINATION,HYDROCORTISONE,HYDROCORTISONE CAPROATE
1161,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE
1162,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE ACETATE
1163,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1164,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1165,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1166,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1167,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1168,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1169,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE VALERATE
1170,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
1171,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE ACEPONATE
1172,PROCTOCORT,HYDROCORTISONE,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,CORTICOSTEROIDS,HYDROCORTISONE,HYDROCORTISONE CAPROATE
1173,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE
1174,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE ACETATE
1175,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE CYPIONATE
1176,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE SODIUM PHOSPHATE
1177,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE SODIUM SUCCINATE
1178,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE SUCCINATE
1179,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE BUTYRATE
1180,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE PROBUTATE
1181,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE VALERATE
1182,PROCTOCREAM-HC,HYDROCORTISONE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT,HYDROCORTISONE,HYDROCORTISONE HEMISUCCINATE
